,Link No.,Link or Connector,Link Width (m),Lane No.,Start x,Start y,Start zOffset,End x,End y,End zOffset,flow,intersection,Start Lat,Start Lon,Start Alt,End Lat,End Lon,End Alt
0,1,link,10.5,3,26.93645679608514,-6.720865810038749,0.0,793.6120170687691,-5.393097996284291,0.0,ob,4,-6.26414479927015,36.24243943594648,540.1100603435189,-6.255616184390083,36.24245107538741,540.1593136582524
1,2,link,10.5,3,792.3146095260373,12.835020144997165,0.0,26.441209749972707,10.168699181812212,0.0,ib,4,-6.255630598506308,36.24261533378873,540.1591632273048,-6.264150307902137,36.242591631320714,540.1100628534332
2,3,link,10.5,3,-27.53034782109012,10.588381460191442,0.0,-374.0917875948807,5.011530705210902,0.0,ib,3,-6.2647506967597995,36.242595413134005,540.1100681405514,-6.268605903039595,36.24254508699621,540.1209588441998
3,4,link,10.5,3,-373.02953030821766,-15.171357741385322,0.0,-24.38606625256776,-7.300031247212772,0.0,ib,4,-6.268594076701446,36.24236321522644,540.1209128312767,-6.264715718674833,36.242434217034656,540.1100507359952
4,5,link,10.5,3,13.111615966634789,28.444926448995812,0.0,4.783518839197171,723.4161336753707,0.0,ob,4,-6.264298588278579,36.242756322449914,540.1100770710036,-6.264391227405385,36.24901884813373,540.151155252941
5,6,link,10.5,3,-12.212597747410172,724.6058618364332,0.0,-10.512986088749445,25.226286870406952,0.0,ib,4,-6.264580310613669,36.249029568942916,540.1513006119058,-6.264561392902978,36.24272731865634,540.1100586811081
6,7,link,10.5,3,-10.852908420481612,-24.41299613535314,0.0,-6.2639569420976215,-463.9325710650195,0.0,ob,4,-6.264565173575813,36.24228000881399,540.1100560743362,-6.26451412198165,36.23831940567035,540.1269285045564
7,8,link,10.5,3,10.05231498104544,-465.4622215578141,0.0,12.070603825705092,-21.268714566830752,0.0,ib,4,-6.2643326268769535,36.238305621632044,540.1270451378077,-6.2643101694663015,36.24230834257163,540.1100469641387
8,9,link,3.5,1,61.9924472697175,18.83192290761062,0.0,26.400454622788374,18.878237325309144,0.0,ib,4,-6.263754829166135,36.24266969579261,540.110328762792,-6.264150760975546,36.24267011476845,540.110082580708
9,10,link,3.5,1,107.7867838006724,3.079922055142937,0.0,26.939656421498498,3.29747234745151,0.0,ib,4,-6.263245406791022,36.24252774723859,540.1109103532508,-6.264144763332422,36.2425297132624,540.1100576613098
10,11,link,3.5,1,20.22279114647128,-62.18516563742933,0.0,21.79365722198841,-21.711038500997237,0.0,ib,4,-6.264219484523189,36.24193963581484,540.1103360950947,-6.264202008958963,36.24230435652882,540.1100742388517
11,12,link,3.5,1,-85.28910062318721,-16.934704837245867,0.0,-23.94289251257192,-15.581389054037253,0.0,ib,4,-6.265393212044092,36.24234739354355,540.110592068173,-6.264710788491017,36.24235959201761,540.1100639589131
12,13,link,3.5,1,-181.99020555434848,-2.3588352525713816,0.0,-25.262640965521967,-0.0409898530727872,0.0,ib,4,-6.266468931724179,36.24247872635196,540.1125935660675,-6.26472547005656,36.24249962973485,540.1100499508902
13,14,link,3.5,1,-18.96345525561065,56.10780580535796,0.0,-19.241766664716323,25.4170682790917,0.0,ib,4,-6.264655398278419,36.24300559826031,540.1102756988257,-6.26465849352443,36.24272903769266,540.1100797737017
14,15,link,7.0,2,2.909092916084839,-108.3599419363403,0.0,0.8571720227088515,-22.342944675830687,0.0,ib,4,-6.26441208363727,36.24152354551561,540.1109239999205,-6.264434909151755,36.24229866253674,540.1100392974913
15,16,link,7.0,2,-0.8988982814310713,127.568951135927,0.0,1.8157888454816888,25.446924904532708,0.0,ib,4,-6.264454444077513,36.243649549507005,540.1112797837704,-6.264424245263156,36.242729306926655,540.1100511634722
16,17,link,10.5,3,-776.557501077418,-18.318872923950103,0.0,-402.83811247068127,-16.368842914371918,0.0,ib,3,-6.273082974670807,36.24233461240625,540.1572411553934,-6.268925670888426,36.24235241247897,540.122726556845
17,18,link,10.5,3,-404.6318778716935,3.564664485574129,0.0,-779.4803453396843,0.1641792030289379,0.0,ib,2,-6.268945635279755,36.24253203668623,540.1228198884055,-6.273115507179678,36.24250116465741,540.1575708547607
18,19,link,3.5,1,-387.51786989247137,-238.95540071101252,0.0,-384.1186465751498,-28.840909409078947,0.0,ib,3,-6.268755136272842,36.24034664488357,540.1262476481497,-6.26871742686458,36.2422400317251,540.1216175109148
19,20,link,3.5,1,-391.97935049645577,-28.62845795174637,0.0,-391.76689903912313,-239.8052065403429,0.0,ob,3,-6.268804870394544,36.24224194301411,540.1220941981301,-6.268802401423296,36.24033898539254,540.1265388913453
20,21,link,3.5,1,-385.33088131247337,16.361789647868548,0.0,-403.0035893996048,506.8819966872183,0.0,ob,3,-6.268730934151406,36.242647362109345,540.1216461807489,-6.26892778094923,36.24706753210424,540.1429202305153
21,22,link,3.5,1,-407.085910543331,506.2578541402391,0.0,-394.4407998028952,15.41000711901863,0.0,ib,3,-6.268973195652849,36.24706190612051,540.1431294279173,-6.268832274035821,36.24263878172666,540.1221999796107
22,23,link,3.5,1,-390.4977007548022,65.85448114806927,0.0,-389.2739803605664,15.68194498440434,0.0,ib,3,-6.268788435453804,36.24309334887977,540.1222800137475,-6.2687747975530375,36.24264123430911,540.1218836056069
23,24,link,3.5,1,-398.5677968324552,55.82677236197105,0.0,-398.2479299182952,15.138069253632906,0.0,ib,3,-6.268878204053557,36.24300298383855,540.1226826272905,-6.2688746250897065,36.24263632967766,540.1224356079474
24,25,link,3.5,1,-379.8921240047591,-58.55709226589661,0.0,-379.076310408602,-28.64392707346766,0.0,ib,3,-6.268670396100529,36.24197225471255,540.1215689219534,-6.268661335400951,36.24224180876393,540.1213153200224
25,26,link,3.5,1,-388.4581667644092,-84.3911894775398,0.0,-388.05025996633066,-28.507958140774804,0.0,ib,3,-6.268765672660069,36.241739454894805,540.1223746379837,-6.268761162773679,36.242243030447874,540.1218536989763
26,27,link,3.5,1,-528.0982606399753,-12.055717284938863,0.0,-402.8708736298522,-9.336338631081688,0.0,ib,3,-6.270319084865717,36.24239121863943,540.1318467650563,-6.268926038945683,36.24241578381597,540.122714407742
27,28,link,3.5,1,-295.45541680249374,-1.0422337368172947,0.0,-373.3656152355019,-2.6738609291315925,0.0,ib,3,-6.267731136831055,36.242490562503384,540.1168346935883,-6.268597821314868,36.24247583262475,540.1209149351344
28,29,link,10.5,3,-808.9427803336122,-0.0546119480574143,0.0,-1187.773202593098,5.927680593032052,0.0,ib,1,-6.2734432517384855,36.24249916888213,540.1612349385396,-6.277657430154874,36.24255268535754,540.2204609038308
29,30,link,10.5,3,-1188.371955228133,-13.78811069853946,0.0,-805.3389144007145,-20.042692063803194,0.0,ib,2,-6.277664060861246,36.24237502155511,540.2205844828859,-6.273403141211053,36.242319055169155,540.1608110377565
30,31,link,3.5,1,-790.7902386025786,12.282721667082887,0.0,-796.9356094573814,721.6951042541833,0.0,ob,2,-6.273241332457082,36.24261035816121,540.1589731927961,-6.273310416580054,36.24900301107398,540.2006831439212
31,32,link,3.5,1,-801.1234808005299,721.9618105024321,0.0,-798.07777670821,12.312756991862557,0.0,ib,2,-6.273357007254455,36.24900541095447,540.201237404719,-6.273322400326483,36.242610622827385,540.159879816696
32,33,link,3.5,1,-804.8218357697757,49.078756392011606,0.0,-804.16918489285,12.42153213801684,0.0,ib,2,-6.2733974601934435,36.242941923236906,540.1609036773443,-6.273390162320322,36.2426115979751,540.1606441773474
33,34,link,3.5,1,-796.5549246620499,61.91422363821749,0.0,-794.5969720312727,11.98643155339969,0.0,ib,2,-6.27330551030616,36.243057593120746,540.1599792111665,-6.273283678919868,36.24260768510862,540.1594451451674
34,35,link,3.5,1,-782.867951974855,-304.5254491923547,0.0,-787.1169811215069,-31.737777977306507,0.0,ib,2,-6.27315288688641,36.23975554010693,540.1652777614072,-6.273200426260502,36.242213683336885,540.1585867423564
35,36,link,3.5,1,-795.1901365001454,-30.887972147976114,0.0,-788.1792384081699,-304.95035210701985,0.0,ob,2,-6.273290233851291,36.24222133450674,540.159582705237,-6.27321196798254,36.23975170690223,540.1659514363855
36,37,link,3.5,1,-779.2562772002009,-68.06697718117977,0.0,-780.743437401529,-31.52532651997393,0.0,ib,2,-6.273112946719809,36.241886319761015,540.1579078463838,-6.273129526423897,36.24221560294891,540.1578033026308
37,38,link,3.5,1,-786.6920782068416,-86.97515688378044,0.0,-791.3660102681587,-31.312875062641357,0.0,ib,2,-6.273195644104918,36.24171592820589,540.159050042741,-6.273247693388772,36.24221750875636,540.1591097572818
38,39,link,3.5,1,-927.3349429610176,-11.342438073377693,0.0,-805.5906720996876,-12.69036608762834,0.0,ib,2,-6.2747602514679786,36.24239734563793,540.1773393843323,-6.27340594935987,36.242385308289215,540.1608238657936
39,40,link,3.5,1,-707.040117746038,-6.744648614368629,0.0,-778.6515553720495,-8.449359108005355,0.0,ib,2,-6.272309664395651,36.242438963473354,540.1491433838382,-6.273106279025105,36.24242354695165,540.1574753597379
40,41,link,10.5,3,-1451.9070443148892,-14.323779882321643,0.0,-1218.5176037484553,-13.864562836484556,0.0,ib,1,-6.280595661044855,36.24236983467976,540.2750633964315,-6.277999405154991,36.24237429510471,540.2262654732913
41,42,link,3.5,1,-1318.062557389089,-5.807168367388471,0.0,-1218.7160409034548,-6.622981963545623,0.0,ib,1,-6.279106770693675,36.242446771363085,540.2460226407275,-6.278001623866613,36.24243955023575,540.2262916723266
42,43,link,3.5,1,-1207.961714141046,-27.97010439632453,0.0,-1206.7040015136374,-251.54147847783156,0.0,ob,1,-6.2778819582064065,36.242247200400385,540.2243064725772,-6.2778676227873715,36.240232553741606,540.2289828369394
43,44,link,3.5,1,-1201.7491023999978,-253.03268023618,0.0,-1199.871562645821,-27.66417429776564,0.0,ib,1,-6.277812503012326,36.24021912238085,540.2281076684594,-6.277791962844258,36.242249967274056,540.222779981792
44,45,link,3.5,1,-1195.4525723333034,-68.96473760322164,0.0,-1194.2628441722406,-28.174057795363865,0.0,ib,1,-6.277742742413524,36.24187780481894,540.2222650730982,-6.277729569996888,36.242245379552934,540.2217308813706
45,46,link,3.5,1,-1203.780669460741,-68.45485410562341,0.0,-1203.9506306266069,-27.49421313189957,0.0,ib,1,-6.277835385528408,36.24188238915147,540.2238239664584,-6.27783733915631,36.24225149375826,540.2235469492152
46,47,link,3.5,1,-1200.848839349551,21.624563803395816,0.0,-1204.4631697674222,604.9193346612885,0.0,ob,1,-6.2778029097659145,36.242694117056956,540.2229402605444,-6.277844013390212,36.24795029965401,540.2523597637191
47,48,link,3.5,1,-1208.414766873808,604.7168418660184,0.0,-1208.3696209391253,21.11468030579759,0.0,ib,1,-6.277887974318932,36.24794847001925,540.2530870158225,-6.277886571546111,36.24268951302084,540.224357179366
48,49,link,3.5,1,-1213.0860432919092,52.005122201956745,0.0,-1213.5109462065743,20.56230651673305,0.0,ib,1,-6.2779390857470485,36.24296786724783,540.2254289668053,-6.27794376374104,36.242684529027045,540.2253302661702
49,50,link,3.5,1,-1204.2990510166333,69.78306015154797,0.0,-1204.435019949326,19.664911560960142,0.0,ib,1,-6.277841364615444,36.24312807888773,540.2239361330867,-6.2778428000891235,36.24267645376556,540.2236092491075
50,51,link,10.5,3,-1219.965189081246,6.113827627961173,0.0,-1450.0372754800994,2.723084058356778,0.0,ob,1,-6.278015539417862,36.24255432268088,540.2265296680853,-6.280574893039033,36.24252345029547,540.2746230224147
51,52,link,3.5,1,-1027.2505045339442,13.151999684972196,0.0,-1188.5011606493815,15.276514258298128,0.0,ib,1,-6.275871758618346,36.2426179690746,540.1926332581788,-6.277665542268041,36.242636928731756,540.2206119270995
52,53,link,3.5,1,-1113.930699125642,-0.6573450416462805,0.0,-1188.4549312122665,-1.719602328309243,0.0,ib,1,-6.276835984583839,36.24249343423269,540.2071509752423,-6.277665002211766,36.242483773274806,540.2205852046609
53,10000,connector,3.5,1,100.58817900032558,14.033100713775246,0.0,61.71641069542964,18.848072894597244,0.0,ib,4,-6.263325483830755,36.242626449369816,540.1108076516539,-6.263757899846008,36.24266984134113,540.1103261364624
54,10001,connector,3.5,1,144.33732984845383,6.776356656324023,0.0,107.5676506469066,3.0792766635869246,0.0,ib,4,-6.262838811911485,36.242561051808636,540.1116347238421,-6.26324784446383,36.24252774144724,540.1109066596255
55,10002,connector,3.5,1,14.485966183723448,-94.89209780704942,0.0,20.23879442472596,-61.82581929843794,0.0,ib,4,-6.264283302020811,36.241644906957106,540.1107245068997,-6.264219306492176,36.24194287395895,540.1103326408193
56,10003,connector,3.5,1,-120.7646426570772,-12.354515202198284,0.0,-84.97218892885732,-16.92927826713748,0.0,ib,4,-6.265787847523214,36.24238866279947,540.1111538400874,-6.265389686675728,36.2423474424714,540.1105878287926
57,10004,connector,3.5,1,-232.02547462017128,-8.221836058518669,0.0,-181.99020555434848,-2.3588352525713816,0.0,ib,4,-6.267025530081828,36.24242588292613,540.1142203444615,-6.266468931724179,36.24247872635196,540.1125935660675
58,10005,connector,3.5,1,-13.717574226479176,83.56976015300762,0.0,-18.96826706272016,55.83353280011627,0.0,ib,4,-6.2645970423733965,36.24325306366947,540.1105639142916,-6.264655451799427,36.2430031267297,540.1102732969448
59,10006,connector,7.0,2,-7.043008758199536,179.85554718841274,0.0,-0.8761360396362237,127.24720275483148,0.0,ib,4,-6.264522793605221,36.24412071469607,540.1125476378947,-6.2644541908626685,36.243646650166426,540.111273332499
60,10007,connector,7.0,2,8.958287015127196,-156.8798867110299,0.0,2.8562257857550657,-107.44370800732798,0.0,ib,4,-6.2643447928373766,36.24108632214043,540.1119416402653,-6.264412671728932,36.24153180189041,540.110908428207
61,10008,connector,3.5,1,27.11201428565517,3.2961894287263065,0.0,-7.33575857031496,-25.17582678032237,0.0,0,0,-6.264142845995602,36.24252970169694,540.1100583896041,-6.264526048347128,36.242273134822206,540.110054041259
62,10009,connector,3.5,1,-25.374029815433857,-0.0417796738759514,0.0,9.59273416096031,29.00988291954007,0.0,ob,4,-6.26472670916371,36.242499622614694,540.1100503932685,-6.264337732997192,36.242761413430536,540.1100733680651
63,10010,connector,7.0,2,1.808570068901989,26.0743732728188,0.0,27.47784712245613,-4.966776854171546,0.0,ob,4,-6.264424325564753,36.242734960993374,540.1100537041202,-6.264138776701639,36.2424552423895,540.1100610392168
