,log_timestamp_verbose,log_timestamp_posix,timestamp_verbose,timestamp_posix,temporaryId,secMark,latitude,longitude,elevation,speed,heading,type,length,width,onmap_status,position_on_map,current_approach,current_lane,current_signal_group,dist_to_stopbar,int
0,2022-04-22 13:24:15.495297,1650659055.4953134,2022-04-22 13:24:15.495057,1650659055.4950564,638,50100,32.2356803,-110.9480491,540.12,0.0,0.55,Car,421.1,200.3,True,1,3,8,8,12.79,3
1,2022-04-22 13:24:15.495134,1650659055.4951422,2022-04-22 13:24:15.494875,1650659055.4948747,619,50100,32.2357389,-110.9480484,540.12,0.0,0.55,Car,464.4,199.8,True,1,3,8,8,6.58,3
2,2022-04-22 13:24:15.494958,1650659055.4949658,2022-04-22 13:24:15.494694,1650659055.4946933,568,50100,32.2357897,-110.9480478,540.12,0.0,0.55,Car,374.9,198.7,True,1,3,8,8,2.68,3
3,2022-04-22 13:24:15.492404,1650659055.4924152,2022-04-22 13:24:15.492045,1650659055.4920444,412,50100,32.236091,-110.9442934,540.11,0.0,89.59,Car,464.4,199.8,True,1,1,3,6,346.2,3
4,2022-04-22 13:24:15.489279,1650659055.4892888,2022-04-22 13:24:15.488505,1650659055.4885054,688,50100,32.2354342,-110.9480925,540.12,4.98,0.36,Car,464.4,199.8,True,1,3,10,8,40.13,3
5,2022-04-22 13:24:15.489048,1650659055.4890554,2022-04-22 13:24:15.488331,1650659055.4883313,636,50100,32.235544,-110.9480915,540.12,0.0,0.41,Car,421.1,200.3,True,1,3,9,8,28.13,3
6,2022-04-22 13:24:15.488814,1650659055.488821,2022-04-22 13:24:15.488161,1650659055.4881604,621,50100,32.2356028,-110.948091,540.12,0.0,0.41,Car,476.0,206.9,True,1,3,9,8,21.61,3
7,2022-04-22 13:24:15.488616,1650659055.4886222,2022-04-22 13:24:15.487991,1650659055.4879909,616,50100,32.2356653,-110.9480905,540.12,0.0,0.41,Car,461.0,194.9,True,1,3,9,8,14.7,3
8,2022-04-22 13:24:15.488342,1650659055.4883502,2022-04-22 13:24:15.487783,1650659055.4877825,615,50100,32.2357263,-110.94809,540.12,0.0,0.41,Car,461.0,194.9,True,1,3,9,8,7.95,3
9,2022-04-22 13:24:15.488065,1650659055.4880724,2022-04-22 13:24:15.487560,1650659055.4875598,608,50100,32.235784,-110.9480895,540.12,0.0,0.41,Car,476.0,206.9,True,1,3,9,8,1.74,3
10,2022-04-22 13:24:15.487854,1650659055.4878635,2022-04-22 13:24:15.487347,1650659055.4873466,550,50100,32.2360745,-110.9475452,540.11,8.18,268.8,Car,476.0,206.9,True,1,1,3,6,39.66,3
11,2022-04-22 13:24:15.487523,1650659055.4875324,2022-04-22 13:24:15.487127,1650659055.4871268,502,50100,32.2360708,-110.9477528,540.11,0.0,268.8,Car,421.1,200.3,True,1,1,3,6,20.09,3
12,2022-04-22 13:24:15.487286,1650659055.4872975,2022-04-22 13:24:15.486919,1650659055.4869184,494,50100,32.2360696,-110.9478164,540.12,0.0,268.8,Car,401.1,185.2,True,1,1,3,6,14.09,3
13,2022-04-22 13:24:15.487000,1650659055.4870064,2022-04-22 13:24:15.486719,1650659055.486719,420,50100,32.2360684,-110.9478865,540.12,0.0,268.8,Car,374.9,198.7,True,1,1,3,6,7.48,3
14,2022-04-22 13:24:15.486230,1650659055.4862363,2022-04-22 13:24:15.485987,1650659055.4859872,586,50100,32.2362786,-110.9481034,540.12,0.0,178.6,Car,476.0,206.9,True,1,7,21,4,7.21,3
15,2022-04-22 13:24:15.486055,1650659055.4860597,2022-04-22 13:24:15.485815,1650659055.4858153,663,50100,32.23594,-110.9474469,540.11,12.64,83.84,Car,421.1,200.3,True,0,2,6,0,47.86,3
16,2022-04-22 13:24:15.485880,1650659055.485886,2022-04-22 13:24:15.485639,1650659055.4856384,600,50100,32.2359967,-110.9472015,540.11,13.17,86.09,Car,421.1,200.3,True,0,2,5,0,70.95,3
17,2022-04-22 13:24:15.418010,1650659055.418014,2022-04-22 13:24:15.417708,1650659055.4177074,682,50000,32.2383067,-110.9482738,540.12,18.48,179.99,Car,421.1,200.3,True,1,7,20,4,233.51,3
18,2022-04-22 13:24:15.417842,1650659055.4178474,2022-04-22 13:24:15.417528,1650659055.4175274,674,50000,32.2377423,-110.9482711,540.12,17.99,178.64,Car,461.0,194.9,True,1,7,20,4,170.87,3
19,2022-04-22 13:24:15.417613,1650659055.4176168,2022-04-22 13:24:15.417353,1650659055.4173524,652,50000,32.2366033,-110.9481596,540.12,4.4,179.62,Car,461.0,194.9,True,1,7,20,4,43.7,3
20,2022-04-22 13:24:15.417441,1650659055.4174445,2022-04-22 13:24:15.417179,1650659055.4171786,650,50000,32.2365089,-110.9481589,540.12,0.79,179.64,Car,421.1,200.3,True,1,7,20,4,33.23,3
21,2022-04-22 13:24:15.417267,1650659055.4172702,2022-04-22 13:24:15.417006,1650659055.4170058,617,50000,32.2364458,-110.9481585,540.12,0.0,179.64,Car,421.1,200.3,True,1,7,20,4,26.28,3
22,2022-04-22 13:24:15.417098,1650659055.4171014,2022-04-22 13:24:15.416831,1650659055.416831,602,50000,32.2363888,-110.948158,540.12,0.0,179.64,Car,461.0,194.9,True,1,7,20,4,19.99,3
23,2022-04-22 13:24:15.416917,1650659055.416921,2022-04-22 13:24:15.416649,1650659055.416648,574,50000,32.2363289,-110.9481576,540.12,0.0,179.64,Car,421.1,200.3,True,1,7,20,4,13.39,3
24,2022-04-22 13:24:15.416745,1650659055.4167497,2022-04-22 13:24:15.416474,1650659055.416474,552,50000,32.2362725,-110.9481572,540.12,0.0,179.64,Car,401.1,185.2,True,1,7,20,4,7.24,3
25,2022-04-22 13:24:15.416542,1650659055.416547,2022-04-22 13:24:15.416271,1650659055.4162712,613,50000,32.2358934,-110.952084,540.15,17.66,90.58,Car,401.1,185.2,True,1,5,13,2,359.13,3
26,2022-04-22 13:24:15.416342,1650659055.416347,2022-04-22 13:24:15.416069,1650659055.4160686,605,50000,32.235924,-110.9519829,540.15,16.03,90.66,Car,401.1,185.2,True,1,5,14,2,349.47,3
27,2022-04-22 13:24:15.416137,1650659055.4161422,2022-04-22 13:24:15.415819,1650659055.4158182,581,50000,32.2359527,-110.9516945,540.15,15.07,90.67,Car,464.4,199.8,True,1,5,14,2,322.29,3
28,2022-04-22 13:24:15.415901,1650659055.415908,2022-04-22 13:24:15.415525,1650659055.4155247,569,50000,32.2359201,-110.9515387,540.14,15.09,90.35,Car,421.1,200.3,True,1,5,14,2,307.61,3
29,2022-04-22 13:24:15.415618,1650659055.4156249,2022-04-22 13:24:15.415235,1650659055.4152343,578,50000,32.2359516,-110.9515177,540.14,14.92,90.34,Car,421.1,200.3,True,1,5,14,2,305.62,3
30,2022-04-22 13:24:15.415339,1650659055.4153452,2022-04-22 13:24:15.414958,1650659055.4149573,567,50000,32.235888,-110.951431,540.14,17.51,90.34,Car,461.0,194.9,True,1,5,13,2,297.59,3
31,2022-04-22 13:24:15.415054,1650659055.4150603,2022-04-22 13:24:15.414713,1650659055.4147124,571,50000,32.2359194,-110.9513909,540.14,14.66,90.34,Car,421.1,200.3,True,1,5,14,2,293.68,3
32,2022-04-22 13:24:15.414777,1650659055.4147823,2022-04-22 13:24:15.414500,1650659055.4144995,565,50000,32.2359503,-110.9512641,540.14,13.63,90.34,Car,421.1,200.3,True,1,5,14,2,281.71,3
33,2022-04-22 13:24:15.414565,1650659055.41457,2022-04-22 13:24:15.414291,1650659055.4142904,520,50000,32.2359181,-110.9511339,540.14,13.35,90.34,Car,464.4,199.8,True,1,5,14,2,269.44,3
34,2022-04-22 13:24:15.414359,1650659055.4143631,2022-04-22 13:24:15.414086,1650659055.414086,560,50000,32.2359495,-110.9511037,540.14,13.54,90.34,Car,374.9,198.7,True,1,5,14,2,266.63,3
35,2022-04-22 13:24:15.414156,1650659055.4141605,2022-04-22 13:24:15.413884,1650659055.413884,526,50000,32.2358858,-110.950996,540.14,17.14,90.34,Car,401.1,185.2,True,1,5,13,2,256.56,3
36,2022-04-22 13:24:15.413952,1650659055.4139569,2022-04-22 13:24:15.413680,1650659055.4136796,534,50000,32.2359486,-110.9509195,540.14,12.81,90.34,Car,421.1,200.3,True,1,5,14,2,249.27,3
37,2022-04-22 13:24:15.413740,1650659055.4137452,2022-04-22 13:24:15.413466,1650659055.4134653,514,50000,32.235917,-110.950914,540.14,12.71,90.34,Car,461.0,194.9,True,1,5,14,2,248.71,3
38,2022-04-22 13:24:15.413535,1650659055.4135396,2022-04-22 13:24:15.413261,1650659055.4132605,518,50000,32.2358847,-110.9507761,540.14,16.18,90.34,Car,461.0,194.9,True,1,5,13,2,235.83,3
39,2022-04-22 13:24:15.413330,1650659055.4133346,2022-04-22 13:24:15.413059,1650659055.4130583,523,50000,32.2359478,-110.9507683,540.14,12.16,90.34,Car,461.0,194.9,True,1,5,14,2,235.03,3
40,2022-04-22 13:24:15.413126,1650659055.4131308,2022-04-22 13:24:15.412839,1650659055.4128382,507,50000,32.2359162,-110.9507629,540.14,12.92,90.34,Car,464.4,199.8,True,1,5,14,2,234.47,3
41,2022-04-22 13:24:15.412921,1650659055.412926,2022-04-22 13:24:15.412596,1650659055.412596,482,50000,32.2359471,-110.9506242,540.14,11.98,90.34,Car,401.1,185.2,True,1,5,14,2,221.45,3
42,2022-04-22 13:24:15.412671,1650659055.4126766,2022-04-22 13:24:15.412346,1650659055.4123454,491,50000,32.2358837,-110.9505792,540.14,16.3,90.34,Car,421.1,200.3,True,1,5,13,2,217.27,3
43,2022-04-22 13:24:15.412445,1650659055.4124506,2022-04-22 13:24:15.412105,1650659055.4121044,539,50000,32.2359153,-110.950577,540.14,14.38,90.34,Car,401.1,185.2,True,1,5,14,2,216.95,3
44,2022-04-22 13:24:15.412180,1650659055.412186,2022-04-22 13:24:15.411866,1650659055.4118652,443,50000,32.2359462,-110.9504464,540.13,13.48,90.34,Car,464.4,199.8,True,1,5,14,2,204.69,3
45,2022-04-22 13:24:15.411951,1650659055.4119568,2022-04-22 13:24:15.411644,1650659055.4116435,484,50000,32.2359127,-110.9503702,540.13,14.91,93.02,Car,421.1,200.3,True,1,5,14,2,197.44,3
46,2022-04-22 13:24:15.411716,1650659055.4117217,2022-04-22 13:24:15.411431,1650659055.41143,370,50000,32.2359451,-110.9502272,540.13,15.09,90.34,Car,421.1,200.3,True,1,5,14,2,183.99,3
47,2022-04-22 13:24:15.411506,1650659055.411514,2022-04-22 13:24:15.411214,1650659055.411214,459,50000,32.2358816,-110.9501403,540.13,16.64,90.34,Car,476.0,206.9,True,1,5,13,2,175.91,3
48,2022-04-22 13:24:15.411277,1650659055.4112818,2022-04-22 13:24:15.411009,1650659055.4110088,428,50000,32.2359135,-110.9500672,540.13,12.52,89.49,Car,464.4,199.8,True,1,5,14,2,168.9,3
49,2022-04-22 13:24:15.411075,1650659055.41108,2022-04-22 13:24:15.410806,1650659055.4108052,411,50000,32.2359433,-110.949978,540.13,15.09,92.07,Truck,1021.5,249.6,True,1,5,14,2,160.5,3
50,2022-04-22 13:24:15.410874,1650659055.4108784,2022-04-22 13:24:15.410576,1650659055.4105754,445,50000,32.2358841,-110.9498573,540.13,16.43,89.31,Car,401.1,185.2,True,1,5,13,2,149.24,3
51,2022-04-22 13:24:15.410645,1650659055.4106512,2022-04-22 13:24:15.410325,1650659055.410325,389,50000,32.2359266,-110.9497087,540.13,16.21,85.45,Truck,1021.5,249.6,True,1,5,14,2,135.1,3
52,2022-04-22 13:24:15.410388,1650659055.4103923,2022-04-22 13:24:15.410120,1650659055.4101198,434,50000,32.2358869,-110.949583,540.13,16.52,89.3,Car,464.4,199.8,True,1,5,13,2,123.38,3
53,2022-04-22 13:24:15.410184,1650659055.4101892,2022-04-22 13:24:15.409916,1650659055.4099157,431,50000,32.2358897,-110.9493141,540.12,16.67,89.3,Car,461.0,194.9,True,1,5,13,2,98.03,3
54,2022-04-22 13:24:15.409983,1650659055.409987,2022-04-22 13:24:15.409685,1650659055.409685,356,50000,32.2358933,-110.9489569,540.12,16.41,89.3,Car,421.1,200.3,True,1,5,13,2,64.36,3
55,2022-04-22 13:24:15.409758,1650659055.409763,2022-04-22 13:24:15.409458,1650659055.4094582,429,50000,32.2359252,-110.948925,540.12,17.14,89.3,Car,421.1,200.3,True,1,5,14,2,61.23,3
56,2022-04-22 13:24:15.409527,1650659055.4095323,2022-04-22 13:24:15.409227,1650659055.409227,399,50000,32.2359602,-110.9487004,540.12,17.24,88.51,Car,461.0,194.9,True,1,5,15,5,39.71,3
57,2022-04-22 13:24:15.409314,1650659055.409322,2022-04-22 13:24:15.409005,1650659055.4090052,394,50000,32.2359046,-110.9484356,540.12,16.71,87.29,Car,461.0,194.9,True,1,5,13,2,15.22,3
58,2022-04-22 13:24:15.400534,1650659055.4005404,2022-04-22 13:24:15.400266,1650659055.4002657,703,50000,32.2361683,-110.9451673,540.11,18.43,268.59,Car,421.1,200.3,True,1,1,1,6,264.52,3
59,2022-04-22 13:24:15.400331,1650659055.4003365,2022-04-22 13:24:15.400063,1650659055.400063,480,50000,32.2361257,-110.9459114,540.11,16.69,269.7,Car,461.0,194.9,True,1,1,2,6,193.63,3
60,2022-04-22 13:24:15.400139,1650659055.4001453,2022-04-22 13:24:15.399867,1650659055.3998666,483,50000,32.2361872,-110.9462817,540.11,18.54,269.7,Car,401.1,185.2,True,1,1,1,6,159.51,3
61,2022-04-22 13:24:15.395639,1650659055.3956442,2022-04-22 13:24:15.395400,1650659055.395399,701,50000,32.2348629,-110.9480883,540.12,17.98,3.53,Car,461.0,194.9,True,1,3,9,8,103.72,3
62,2022-04-22 13:24:15.395462,1650659055.3954668,2022-04-22 13:24:15.395198,1650659055.395198,692,50000,32.2353122,-110.9480533,540.12,10.71,0.79,Car,461.0,194.9,True,1,3,9,8,53.8,3
63,2022-04-22 13:24:15.395256,1650659055.3952613,2022-04-22 13:24:15.395016,1650659055.3950162,679,50000,32.2355654,-110.9480504,540.12,0.0,0.55,Car,421.1,200.3,True,1,3,9,8,25.89,3
64,2022-04-22 13:24:15.395086,1650659055.395091,2022-04-22 13:24:15.394838,1650659055.394838,665,50000,32.2356223,-110.9480497,540.12,0.0,0.55,Car,464.4,199.8,True,1,3,9,8,19.63,3
65,2022-04-22 13:24:15.008932,1650659055.0089405,2022-04-22 13:24:15.008530,1650659055.0085294,666,49600,32.2390794,-110.9524653,540.16,17.13,179.76,Car,421.1,200.3,True,1,7,20,4,320.86,2
